time,global step,score
00h 00m 02s,18363,0.0
00h 00m 02s,18400,1.0
00h 00m 02s,18470,0.0
00h 00m 02s,18535,1.0
00h 00m 02s,18547,0.0
00h 00m 02s,18600,2.0
00h 00m 02s,18625,0.0
00h 00m 02s,18655,0.0
00h 00m 02s,18709,0.0
00h 00m 02s,18715,0.0
00h 00m 02s,18747,0.0
00h 00m 02s,18821,0.0
00h 00m 02s,18857,0.0
00h 00m 02s,18889,0.0
00h 00m 02s,18895,0.0
00h 00m 02s,18906,0.0
00h 00m 02s,18919,0.0
00h 00m 02s,18927,0.0
00h 00m 02s,18929,0.0
00h 00m 02s,18948,0.0
00h 00m 02s,18982,2.0
00h 00m 02s,18991,0.0
00h 00m 02s,19001,0.0
00h 00m 02s,19017,0.0
00h 00m 02s,19059,0.0
00h 00m 02s,19084,1.0
00h 00m 02s,19196,0.0
00h 00m 02s,19226,0.0
00h 00m 02s,19237,1.0
00h 00m 02s,19243,0.0
00h 00m 02s,19248,0.0
00h 00m 02s,19286,1.0
00h 00m 02s,19297,0.0
00h 00m 02s,19324,0.0
00h 00m 02s,19351,0.0
00h 00m 02s,19456,1.0
00h 00m 02s,19479,0.0
00h 00m 02s,19494,2.0
00h 00m 02s,19504,0.0
00h 00m 02s,19541,0.0
00h 00m 02s,19552,0.0
00h 00m 02s,19560,0.0
00h 00m 02s,19564,0.0
00h 00m 02s,19565,0.0
00h 00m 02s,19574,0.0
00h 00m 02s,19579,0.0
00h 00m 02s,19581,0.0
00h 00m 02s,19613,2.0
00h 00m 02s,19615,0.0
00h 00m 02s,19655,0.0
00h 00m 02s,19657,0.0
00h 00m 02s,19702,1.0
00h 00m 02s,19710,0.0
00h 00m 02s,19714,0.0
00h 00m 02s,19811,0.0
00h 00m 02s,19813,0.0
00h 00m 03s,19883,0.0
00h 00m 03s,19936,0.0
00h 00m 03s,19966,0.0
00h 00m 03s,19993,0.0
00h 00m 03s,20019,0.0
00h 00m 03s,20079,0.0
00h 00m 03s,20118,0.0
00h 00m 03s,20178,0.0
00h 00m 03s,20216,0.0
00h 00m 03s,20223,0.0
00h 00m 03s,20250,0.0
00h 00m 03s,20253,0.0
00h 00m 03s,20268,0.0
00h 00m 03s,20269,0.0
00h 00m 03s,20276,0.0
00h 00m 03s,20277,0.0
00h 00m 03s,20285,0.0
00h 00m 03s,20310,0.0
00h 00m 03s,20334,0.0
00h 00m 03s,20343,0.0
00h 00m 03s,20392,0.0
00h 00m 03s,20400,0.0
00h 00m 03s,20420,0.0
00h 00m 03s,20422,2.0
00h 00m 03s,20559,0.0
00h 00m 03s,20611,2.0
00h 00m 03s,20700,0.0
00h 00m 03s,20711,1.0
00h 00m 03s,20760,0.0
00h 00m 03s,20765,0.0
00h 00m 03s,20805,0.0
00h 00m 03s,20866,0.0
00h 00m 03s,20876,0.0
00h 00m 03s,20901,0.0
00h 00m 03s,20905,0.0
00h 00m 03s,20943,0.0
00h 00m 03s,20943,0.0
00h 00m 03s,20963,0.0
00h 00m 03s,20974,0.0
00h 00m 03s,20977,0.0
00h 00m 03s,20978,0.0
00h 00m 03s,21005,0.0
00h 00m 03s,21030,0.0
00h 00m 03s,21035,0.0
00h 00m 03s,21053,1.0
00h 00m 03s,21074,0.0
00h 00m 03s,21078,0.0
00h 00m 03s,21081,0.0
00h 00m 03s,21184,0.0
00h 00m 03s,21364,1.0
00h 00m 03s,21370,1.0
00h 00m 03s,21535,0.0
00h 00m 03s,21546,2.0
00h 00m 03s,21562,0.0
00h 00m 03s,21563,0.0
00h 00m 03s,21570,0.0
00h 00m 03s,21627,0.0
00h 00m 03s,21645,0.0
00h 00m 03s,21646,0.0
00h 00m 03s,21656,0.0
00h 00m 03s,21668,0.0
00h 00m 03s,21669,0.0
00h 00m 03s,21670,0.0
00h 00m 03s,21677,0.0
00h 00m 03s,21678,0.0
00h 00m 03s,21700,0.0
00h 00m 03s,21708,0.0
00h 00m 03s,21720,1.0
00h 00m 03s,21737,0.0
00h 00m 03s,21774,0.0
00h 00m 03s,21836,0.0
00h 00m 04s,21951,1.0
00h 00m 04s,21956,1.0
00h 00m 04s,21956,0.0
00h 00m 04s,21963,0.0
00h 00m 04s,22063,2.0
00h 00m 04s,22076,1.0
00h 00m 04s,22150,0.0
00h 00m 04s,22158,1.0
00h 00m 04s,22260,0.0
00h 00m 04s,22278,0.0
00h 00m 04s,22286,0.0
00h 00m 04s,22315,0.0
00h 00m 04s,22318,0.0
00h 00m 04s,22327,0.0
00h 00m 04s,22334,0.0
00h 00m 04s,22346,0.0
00h 00m 04s,22347,0.0
00h 00m 04s,22352,0.0
00h 00m 04s,22361,0.0
00h 00m 04s,22364,0.0
00h 00m 04s,22377,0.0
00h 00m 04s,22396,0.0
00h 00m 04s,22511,1.0
00h 00m 04s,22595,0.0
00h 00m 04s,22601,0.0
00h 00m 04s,22789,2.0
00h 00m 04s,22791,0.0
00h 00m 04s,22800,0.0
00h 00m 04s,22802,0.0
00h 00m 04s,22886,0.0
00h 00m 04s,22922,0.0
00h 00m 04s,22945,0.0
00h 00m 04s,22970,1.0
00h 00m 04s,22992,0.0
00h 00m 04s,22997,0.0
00h 00m 04s,23029,0.0
00h 00m 04s,23030,0.0
00h 00m 04s,23044,0.0
00h 00m 04s,23058,0.0
00h 00m 04s,23070,0.0
00h 00m 04s,23110,0.0
00h 00m 04s,23118,0.0
00h 00m 04s,23172,1.0
00h 00m 04s,23199,1.0
00h 00m 04s,23288,1.0
00h 00m 04s,23359,1.0
00h 00m 04s,23420,1.0
00h 00m 04s,23444,0.0
00h 00m 04s,23458,0.0
00h 00m 04s,23496,0.0
00h 00m 04s,23525,0.0
00h 00m 04s,23528,0.0
00h 00m 04s,23546,0.0
00h 00m 04s,23633,0.0
00h 00m 04s,23637,0.0
00h 00m 04s,23657,0.0
00h 00m 04s,23681,0.0
00h 00m 04s,23698,0.0
00h 00m 04s,23719,0.0
00h 00m 04s,23720,0.0
00h 00m 04s,23740,0.0
00h 00m 04s,23797,0.0
00h 00m 04s,23802,0.0
00h 00m 04s,23810,0.0
00h 00m 04s,23871,0.0
00h 00m 04s,23874,0.0
00h 00m 04s,23911,0.0
00h 00m 04s,23958,0.0
00h 00m 05s,24103,1.0
00h 00m 05s,24116,0.0
00h 00m 05s,24132,0.0
00h 00m 05s,24153,0.0
00h 00m 05s,24163,0.0
00h 00m 05s,24193,0.0
00h 00m 05s,24207,0.0
00h 00m 05s,24266,0.0
00h 00m 05s,24317,0.0
00h 00m 05s,24331,0.0
00h 00m 05s,24346,0.0
00h 00m 05s,24374,0.0
00h 00m 05s,24383,0.0
